Client,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder
1094,0,1,0,0.0,5.138571428571429,0.0,M,25,8,1,,,,,,89.02250000000001,,,,,,0.011785714285714287,0.011785714285714287,1.0,1.0,1366.3139285714285,1366.3139285714285,53.57142857142857,351.9503571428572,891.3278571428572,31.0,31.0,1.0,21.0,4.0
1484,1,0,1,25.60910714285714,0.0,8.7225,M,39,0,1,,,,,,0.0,,,,,,1355.0885714285716,1355.0885714285716,5.0,5.0,768.625,768.625,107.14285714285714,302.44642857142856,357.7857142857143,23.0,23.0,1.0,16.0,5.0
20,0,1,0,0.0,3.8225000000000002,0.0,M,27,181,1,1.0,,,,,2194.472142857143,18302.0625,,,,,452.6175,451.55,4.0,3.0,221.42857142857142,221.42857142857142,107.14285714285714,10.714285714285714,103.57142857142857,7.0,7.0,3.0,1.0,3.0
1193,0,0,0,0.0,0.0,0.0,M,48,16,2,,,1.0,,,4180.6975,,,0.0,,,1442.837857142857,1151.652857142857,23.0,21.0,1661.2010714285714,1207.9064285714285,507.14285714285717,331.15000000000003,75.17857142857143,55.0,36.0,6.0,21.0,2.0
142,0,0,0,0.0,0.0,0.0,F,27,183,1,,,,,,1511.6839285714286,,,,,,714.2857142857143,714.2857142857143,1.0,1.0,728.1071428571429,728.1071428571429,0.0,0.0,725.9285714285714,2.0,2.0,0.0,0.0,1.0
865,0,0,1,0.0,0.0,7.535714285714286,M,23,26,1,,,,,,591.2628571428571,,,,,,125.27499999999999,125.27499999999999,2.0,2.0,441.4642857142857,441.4642857142857,214.28571428571428,14.285714285714286,203.42857142857142,12.0,12.0,3.0,1.0,5.0
672,0,1,0,0.0,1.9642857142857142,0.0,M,4,261,1,,,,,,47.964642857142856,,,,,,350.7910714285714,350.7910714285714,2.0,2.0,291.83214285714286,291.83214285714286,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
942,0,1,0,0.0,36.785714285714285,0.0,M,40,76,1,2.0,3.0,,,,2841.414285714286,27797.979642857146,0.0,,,,226.26107142857146,214.29035714285715,3.0,2.0,173.92857142857142,173.92857142857142,0.0,0.0,173.5,4.0,4.0,0.0,0.0,3.0
184,0,1,0,0.0,5.785714285714286,0.0,F,30,115,1,,,,,,160.90321428571428,,,,,,0.009642857142857144,0.009642857142857144,1.0,1.0,131.87428571428572,131.87428571428572,0.0,129.34321428571428,0.0,4.0,4.0,0.0,2.0,0.0
1513,0,0,1,0.0,0.0,13.315714285714284,F,87,149,1,1.0,6.0,,,,0.0,17859.757857142857,3732.1428571428573,,,,487.6471428571429,478.2292857142857,4.0,3.0,26.0,26.0,0.0,26.0,0.0,2.0,2.0,0.0,2.0,0.0
849,0,0,1,0.0,0.0,12.868214285714286,F,24,14,1,,,,,,146.85392857142855,,,,,,107.14642857142857,107.14642857142857,2.0,2.0,205.57964285714283,205.57964285714283,189.80964285714285,0.0,0.0,9.0,9.0,4.0,0.0,0.0
1238,0,0,1,0.0,0.0,12.6725,M,50,54,1,,,,,,602.6167857142857,,,,,,560.7171428571429,560.7171428571429,3.0,3.0,1000.5678571428572,1000.5678571428572,678.5714285714286,211.46071428571426,107.14285714285714,21.0,21.0,3.0,16.0,1.0
1106,0,0,0,0.0,0.0,0.0,M,36,19,1,,,,,,241.27821428571428,,,,,,309.2864285714286,309.2864285714286,3.0,3.0,292.5357142857143,292.5357142857143,192.85714285714286,0.0,99.46428571428571,8.0,8.0,5.0,0.0,2.0
1046,0,0,0,0.0,0.0,0.0,M,51,30,1,,,,,,5942.160000000001,,,,,,214.2867857142857,214.2867857142857,2.0,2.0,156.43714285714285,156.43714285714285,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
288,0,0,0,0.0,0.0,0.0,F,32,151,1,,,,,,3661.9582142857143,,,,,,645.2521428571429,645.2521428571429,2.0,2.0,729.5749999999999,729.5749999999999,242.85714285714286,135.075,348.92857142857144,16.0,16.0,4.0,4.0,5.0
461,0,0,0,0.0,0.0,0.0,F,17,64,1,1.0,,,,,6.537857142857143,6128.227857142857,,,,,1463.9160714285715,1463.8007142857143,5.0,4.0,1590.5982142857142,1590.5982142857142,0.0,340.7517857142857,719.9642857142857,18.0,18.0,0.0,3.0,12.0
1302,1,1,0,10.126428571428573,0.42857142857142855,0.0,M,66,69,1,1.0,,,,,35.83464285714286,1888.0625,,,,,16.9525,0.011785714285714287,3.0,1.0,1470.8103571428571,1113.6675,0.0,238.67035714285717,822.1071428571429,9.0,8.0,0.0,4.0,2.0
689,0,0,0,0.0,0.0,0.0,F,39,133,1,,,,,,396.30821428571426,,,,,,1071.4289285714285,1071.4289285714285,3.0,3.0,908.275,908.275,0.0,10.785714285714286,0.0,5.0,5.0,0.0,3.0,0.0
1305,0,0,0,0.0,0.0,0.0,M,35,152,1,,,1.0,,,73.56642857142857,,,0.0,,,735.5803571428571,735.5803571428571,4.0,4.0,595.025,595.025,71.42857142857143,360.91785714285714,161.42857142857142,15.0,15.0,1.0,7.0,6.0
1221,0,0,0,0.0,0.0,0.0,M,86,17,1,,,1.0,,,2577.3292857142856,,,0.0,,,2524.253571428572,1708.685714285714,26.0,24.0,2611.156785714286,1708.685714285714,403.57142857142856,160.58214285714286,306.2142857142857,47.0,25.0,7.0,3.0,6.0
638,0,0,0,0.0,0.0,0.0,M,1,31,1,,,1.0,,,89.25,,,0.0,,,592.8282142857142,592.8282142857142,2.0,2.0,885.9785714285715,885.9785714285715,535.7142857142857,140.72857142857143,23.642857142857142,9.0,9.0,1.0,4.0,1.0
548,0,0,0,0.0,0.0,0.0,F,54,12,1,,,,,,2663.1378571428572,,,,,,684.0367857142857,684.0367857142857,2.0,2.0,674.3821428571429,674.3821428571429,0.0,0.0,142.85714285714286,3.0,3.0,0.0,0.0,1.0
806,0,0,1,0.0,0.0,12.023928571428572,F,37,59,1,,,,,,0.0,,,,,,356.0364285714286,356.0364285714286,3.0,3.0,359.10714285714283,359.10714285714283,357.14285714285717,0.0,0.0,3.0,3.0,2.0,0.0,0.0
1340,0,0,0,0.0,0.0,0.0,M,60,6,1,,,,,,50.72035714285715,,,,,,5823.408928571429,5823.408928571429,3.0,3.0,5244.964285714285,5244.964285714285,1607.142857142857,310.6464285714286,3205.535714285714,21.0,21.0,4.0,6.0,9.0
